id,sigTypeId,dataSource,deviceName,deviceType,waveDuration,waveStartTimestamp,waveEndTimestamp,eventStartTimestamp,samplingRate,faultType,description,dataType,eventTags,eventTagsBi,eventTags_color,latent_x,latent_y,latent_coord,latent_vectors,embedding_coord,cluster_label,cluster_prob
1,1,Provider 1,Site0014,,0.183,2006-06-09T00:00:00Z,2006-06-09T00:00:00.183203134Z,2006-06-09T00:00:00Z,7692.0,,Recloser tripped on F_0000010 no apparent cause.,PoW,Events::Other::Unknown/r/nEquipment::Interrupting Device::Recloser,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",-1.5560906,-0.018986307,"-3.0894908905029297,-3.278059959411621","-3.089491,-3.27806,-3.2306306,3.2362597,2.6927202,3.2154665,3.0121799,3.117613,3.0705144,3.1567197,2.759012,-3.048492,3.442979,-3.087484,-3.219417,3.2917514,3.3175173,-2.8672311,-3.2474055,-3.1675866,3.092484,2.8740149,-3.237053,-3.2446623,3.4810276,3.2987201,3.11739,-0.39373395,-3.3879693,2.9718177,-3.396674,-2.6273189","-1.5560905933380127,-0.018986307084560394",5.0,0.9957065170574718
2,1,Provider 1,Site0014,,0.166,2006-08-10T00:00:00Z,2006-08-10T00:00:00.166536467Z,2006-08-10T00:00:00Z,7692.0,,No outage information found for this event. May have been a temporary fault cleared by a successful recloser operation per the sag duration.,PoW,Events::Fault::Momentary/r/nEvents::System Event/Condition::Sag/r/nEquipment::Interrupting Device::Recloser,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-1.6535856,-0.011552695,"-3.099395751953125,-3.2879490852355957","-3.0993958,-3.287949,-3.253742,3.2596927,2.7158558,3.2482002,3.0228555,3.1445987,3.0938952,3.1765156,2.769477,-3.061576,3.4610984,-3.094642,-3.2378166,3.3252022,3.3274834,-2.8797662,-3.2806003,-3.179294,3.1074572,2.8882504,-3.239821,-3.2592044,3.4916525,3.3201163,3.1332998,-0.40478566,-3.4116023,2.9947724,-3.4085038,-2.6409655","-1.6535855531692505,-0.01155269518494606",0.0,0.8700747143024767
3,1,Provider 1,Site0010,,0.099,2006-08-01T00:00:00.400000005Z,2006-08-01T00:00:00.499869802Z,2006-08-01T00:00:00.400000005Z,7692.0,,A lightning strike caused primary to fall to the ground and trip the circuit breaker of F_0000024.,PoW,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Circuit Breaker/r/nConditions::Equipment Conditions::Live wire on ground,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-1.9287562,0.0099919755,"-3.14180326461792,-3.3594675064086914","-3.1418033,-3.3594675,-3.303943,3.3083994,2.7713184,3.296531,3.0787063,3.2030756,3.1615708,3.2154193,2.8079038,-3.1086063,3.509252,-3.1571147,-3.2685618,3.3878806,3.4008973,-2.9208887,-3.3448567,-3.190599,3.1364598,2.9392228,-3.277426,-3.3027427,3.5350587,3.3666027,3.1910977,-0.42368928,-3.459942,3.03648,-3.4720736,-2.6856074","-1.9287562370300293,0.009991975501179695",6.0,0.6272546465107219
4,1,Provider 1,Site0010,,0.199,2006-08-01T00:00:00Z,2006-08-01T00:00:00.199869802Z,2006-08-01T00:00:00Z,7692.0,,A lightning strike caused a recloser on F_0000026 to operate twice and caused primary wire to fall to the ground.,PoW,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-1.4609221,-0.02022083,"-3.078038215637207,-3.251985788345337","-3.0780382,-3.2519858,-3.2253911,3.2136536,2.6668751,3.1846633,2.9978445,3.098233,3.0577018,3.1468282,2.761648,-3.046081,3.4201188,-3.0801299,-3.2161403,3.2726011,3.2833898,-2.8553817,-3.2343154,-3.1494603,3.0695415,2.8440669,-3.218845,-3.2249522,3.4689434,3.2686055,3.0882742,-0.3909909,-3.3724566,2.9579844,-3.3767178,-2.6243482","-1.460922122001648,-0.02022082917392254",5.0,0.999999680364072
5,1,Provider 1,Site0010,,0.183,2006-08-01T00:00:00Z,2006-08-01T00:00:00.183203134Z,2006-08-01T00:00:00Z,7692.0,,A lightning strike caused a recloser on F_0000026 to operate twice and caused primary wire to fall to the ground.,PoW,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-1.559634,-0.016625622,"-3.085283041000366,-3.281630516052246","-3.085283,-3.2816305,-3.2288806,3.237402,2.6928365,3.2171266,3.0107799,3.118751,3.0695891,3.1570623,2.7577238,-3.0499158,3.443585,-3.0896523,-3.2184062,3.293367,3.3178375,-2.8677151,-3.2502213,-3.166997,3.0944414,2.8728132,-3.2379394,-3.2432642,3.4869084,3.2974222,3.1189764,-0.39345905,-3.391327,2.971796,-3.3985121,-2.6272726","-1.5596339702606201,-0.016625622287392616",5.0,0.9745362531261518
6,1,Provider 1,Site0010,,0.249,2006-08-01T00:00:00Z,2006-08-01T00:00:00.249837271Z,2006-08-01T00:00:00Z,7692.0,,A lightning strike caused a recloser on F_0000026 to operate twice and caused primary wire to fall to the ground.,PoW,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-1.1785455,-0.021331381,"-3.022367238998413,-3.1796884536743164","-3.0223672,-3.1796885,-3.1763055,3.1533103,2.633047,3.1507373,2.949647,3.0508053,2.9834878,3.0741558,2.7003396,-2.9860778,3.3898444,-3.0427482,-3.1877935,3.2272675,3.218348,-2.8021019,-3.1773508,-3.09115,3.0322425,2.773903,-3.1727598,-3.1871939,3.3910956,3.2244055,3.0329823,-0.39576283,-3.333186,2.9159741,-3.3312075,-2.5890405","-1.1785454750061035,-0.021331381052732468",5.0,1.0
7,1,Provider 1,Site0010,,0.233,2006-08-01T00:00:00Z,2006-08-01T00:00:00.233203137Z,2006-08-01T00:00:00Z,7692.0,,A lightning strike caused a recloser on F_0000026 to operate twice and caused primary wire to fall to the ground.,PoW,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-1.2758571,-0.013476974,"-3.029776096343994,-3.2096457481384277","-3.029776,-3.2096457,-3.190884,3.1720014,2.6477456,3.165527,2.970704,3.0640519,3.0124848,3.1031876,2.7213318,-3.0072753,3.3939044,-3.0631576,-3.2051015,3.2396467,3.227093,-2.830707,-3.2054698,-3.0958774,3.0427213,2.7997394,-3.1968288,-3.1978297,3.4275336,3.2363336,3.0600188,-0.39042112,-3.3478656,2.923303,-3.3352826,-2.6030264","-1.2758570909500122,-0.013476974330842495",5.0,1.0
8,1,Provider 1,Site0009_F_0000065,,0.098,2004-12-31T23:59:59.983333333Z,2005-01-01T00:00:00.082291666Z,2004-12-31T23:59:59.983333333Z,961.0,,Fault caused line recloser lockout. Tree Outside Right of Way (Fall/Lean On Primary),PoW,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-2.1716537,-0.03384269,"-3.2010512351989746,-3.406895160675049","-3.2010512,-3.4068952,-3.3530436,3.3278708,2.787194,3.3263016,3.1148758,3.243876,3.1826446,3.276359,2.8622587,-3.157765,3.5671577,-3.2097774,-3.3294406,3.4342558,3.4389665,-2.9489486,-3.3711634,-3.2541866,3.2117558,3.0128555,-3.3251247,-3.3576825,3.5734956,3.402193,3.238907,-0.43912247,-3.5037584,3.087138,-3.4799905,-2.7088969","-2.1716537475585938,-0.03384269028902054",3.0,0.999750896567274
9,1,Provider 1,Site0014,,0.083,2006-10-31T00:00:00Z,2006-10-31T00:00:00.083203129Z,2006-10-31T00:00:00Z,7692.0,,A conductor off the pin on F_0000012 out of Site0014 Sub. caused a recloser to trip.,PoW,Equipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-1.9768136,0.003133734,"-3.149256944656372,-3.362061023712158","-3.149257,-3.362061,-3.318795,3.2984283,2.7775059,3.3059554,3.0851793,3.2194777,3.1740491,3.2228396,2.8296409,-3.1182017,3.509304,-3.1644943,-3.2814262,3.3886185,3.4183948,-2.9297583,-3.3484519,-3.205741,3.153695,2.9494615,-3.2877088,-3.3232265,3.5362792,3.370012,3.1885786,-0.42689842,-3.4834633,3.050566,-3.4706538,-2.6890264","-1.976813554763794,0.0031337339896708727",6.0,0.9332024516614724
10,1,Provider 1,Site0014,,0.183,2006-08-10T00:00:00Z,2006-08-10T00:00:00.183226987Z,2006-08-10T00:00:00Z,7692.0,,No outage information found for this event. May have been a temporary fault cleared by a successful recloser operation per the sag duration.,PoW,Events::Fault::Momentary/r/nEvents::System Event/Condition::Sag/r/nEquipment::Interrupting Device::Recloser,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-1.5620854,-0.013976358,"-3.081796646118164,-3.2838525772094727","-3.0817966,-3.2838526,-3.2269802,3.2403798,2.6907425,3.2213326,3.0104444,3.1196404,3.0713732,3.1586962,2.756583,-3.0511873,3.4442997,-3.089735,-3.2160754,3.289288,3.3179352,-2.8679836,-3.2561827,-3.1641603,3.098306,2.8748736,-3.2397528,-3.240601,3.4903727,3.296872,3.1213386,-0.3912149,-3.3911235,2.9709673,-3.3990464,-2.6255035","-1.5620853900909424,-0.013976357877254486",5.0,0.9777703874361122
