id,sigTypeId,dataSource,deviceName,deviceType,waveDuration,waveStartTimestamp,waveEndTimestamp,eventStartTimestamp,samplingRate,faultType,description,dataType,eventTags,eventTagsBi,eventTags_color,latent_x,latent_y,latent_coord,latent_vectors
1,1,Provider 1,Site0014,,0.183,2006-06-09T00:00:00Z,2006-06-09T00:00:00.183203134Z,2006-06-09T00:00:00Z,7692.0,,Recloser tripped on F_0000010 no apparent cause.,PoW,Events::Other::Unknown/r/nEquipment::Interrupting Device::Recloser,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",-10.005555,27.07396,"-1.0005555152893066,2.7073960304260254","-1.0005555,2.707396,0.14079095,-0.637503,1.175699,0.10063511,0.7545519,0.98152435,0.16006131,2.2502897,0.52950305,0.27105808,-2.7405236,-0.095020264,1.7636969,-0.69064444,-0.84667975,-0.5573889,-1.3074874,-0.26526514,1.0428137,-0.088503376,1.9604062,1.3003081,-0.17643431,1.823793,-0.30471602,0.2517381,-0.55646706,-0.5088141,0.18829486,2.5174432,-0.20150083,-2.4908078,0.82112896,3.0216892,-4.3317947,0.46215552,-1.203355,0.574486,0.70093536,0.22813572,-1.6412759,-0.62409055,0.2499836,0.062486064,1.3302228,0.74789745,-1.6889329,-1.8246464,-0.93876165,0.4743118,0.3394065,0.26821685,-0.58160377,-0.5516849,0.95433915,0.026886731,1.260953,1.6739023,-0.32085764,2.4530723,-0.647703,1.2887378"
2,1,Provider 1,Site0014,,0.166,2006-08-10T00:00:00Z,2006-08-10T00:00:00.166536467Z,2006-08-10T00:00:00Z,7692.0,,No outage information found for this event. May have been a temporary fault cleared by a successful recloser operation per the sag duration.,PoW,Events::Fault::Momentary/r/nEvents::System Event/Condition::Sag/r/nEquipment::Interrupting Device::Recloser,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-10.041728,27.079746,"-1.0041728019714355,2.707974672317505","-1.0041728,2.7079747,0.13617285,-0.63310736,1.1715708,0.100693524,0.7456895,0.984282,0.15551887,2.2570946,0.54543895,0.28302687,-2.7628262,-0.091819644,1.7478794,-0.7044242,-0.8498978,-0.5633085,-1.297486,-0.2591845,1.0484797,-0.077543154,1.967627,1.2988526,-0.16556743,1.8207239,-0.29520062,0.2526427,-0.5442553,-0.52168757,0.19051287,2.5249016,-0.21359527,-2.4966495,0.8174762,3.0285752,-4.329197,0.4679191,-1.213271,0.5809173,0.70629,0.2153349,-1.6308854,-0.6408714,0.2551317,0.062360298,1.3216395,0.7381234,-1.6843367,-1.8346113,-0.9452762,0.49173453,0.3340305,0.27836037,-0.58867824,-0.54771596,0.9790575,0.026477665,1.2634704,1.6708612,-0.33379233,2.4546876,-0.6431463,1.2764779"
3,1,Provider 1,Site0010,,0.099,2006-08-01T00:00:00.400000005Z,2006-08-01T00:00:00.499869802Z,2006-08-01T00:00:00.400000005Z,7692.0,,A lightning strike caused primary to fall to the ground and trip the circuit breaker of F_0000024.,PoW,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Circuit Breaker/r/nConditions::Equipment Conditions::Live wire on ground,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-10.151782,27.254566,"-1.0151782035827637,2.725456714630127","-1.0151782,2.7254567,0.086275235,-0.6604845,1.1356457,0.100201905,0.74648166,0.9683479,0.1658632,2.282024,0.5718561,0.3263805,-2.8158853,-0.03853169,1.7707111,-0.7665842,-0.8117779,-0.6003005,-1.2878422,-0.25690368,1.079861,-0.10536744,2.0203831,1.3334154,-0.14873269,1.7951825,-0.2667618,0.26393488,-0.50017726,-0.5453544,0.17558935,2.5219762,-0.22109467,-2.506148,0.8050923,3.0411434,-4.3744736,0.51720744,-1.2256055,0.57666564,0.728385,0.22410263,-1.5814455,-0.6769043,0.24995942,0.08934368,1.2619171,0.71688974,-1.6588566,-1.8424649,-0.9559865,0.5381153,0.35923707,0.30294907,-0.585168,-0.5297542,0.9903817,0.051629156,1.2773805,1.6991065,-0.38434708,2.5104682,-0.665578,1.2588348"
4,1,Provider 1,Site0010,,0.199,2006-08-01T00:00:00Z,2006-08-01T00:00:00.199869802Z,2006-08-01T00:00:00Z,7692.0,,A lightning strike caused a recloser on F_0000026 to operate twice and caused primary wire to fall to the ground.,PoW,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-9.923195,26.951258,"-0.9923195242881775,2.6951258182525635","-0.9923195,2.6951258,0.13507427,-0.6296839,1.1803027,0.10872275,0.7491995,0.9946171,0.14997393,2.2430966,0.5239181,0.27155632,-2.731003,-0.11216745,1.7679706,-0.687812,-0.85870194,-0.5602044,-1.3064753,-0.27177182,1.0319544,-0.070396915,1.9543703,1.2943572,-0.16465548,1.817544,-0.3275843,0.2467409,-0.5580752,-0.50865316,0.18511683,2.511118,-0.20610642,-2.4869287,0.8296194,3.0070915,-4.324485,0.45169276,-1.2009913,0.5670753,0.70193064,0.22730662,-1.6612955,-0.61872125,0.267863,0.05400599,1.3407493,0.75846833,-1.7052195,-1.8275326,-0.9201447,0.4588443,0.33207548,0.27000344,-0.58437717,-0.55641454,0.9561784,0.03301999,1.2650836,1.6874352,-0.31789505,2.4425464,-0.63719565,1.2952847"
5,1,Provider 1,Site0010,,0.183,2006-08-01T00:00:00Z,2006-08-01T00:00:00.183203134Z,2006-08-01T00:00:00Z,7692.0,,A lightning strike caused a recloser on F_0000026 to operate twice and caused primary wire to fall to the ground.,PoW,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-10.022562,27.067844,"-1.002256155014038,2.70678448677063","-1.0022562,2.7067845,0.13952984,-0.6363719,1.1744787,0.10152346,0.75214446,0.98201394,0.16011517,2.2507093,0.5300735,0.27247047,-2.7408688,-0.09508759,1.7636608,-0.6902348,-0.84734696,-0.5571723,-1.307343,-0.26402918,1.0432469,-0.08672704,1.9581773,1.3004632,-0.17376354,1.8220999,-0.30584815,0.25017253,-0.5553595,-0.50919306,0.18805212,2.5167634,-0.20078373,-2.4917588,0.82169056,3.0233705,-4.33243,0.45933354,-1.2045614,0.5729729,0.69990194,0.22484829,-1.6414545,-0.6243136,0.24953927,0.059773933,1.3311791,0.7476939,-1.6921165,-1.82615,-0.9371042,0.47217494,0.3379048,0.26953584,-0.5823636,-0.55352664,0.9575945,0.027308673,1.2614044,1.67752,-0.32122648,2.4520988,-0.6474693,1.2873726"
6,1,Provider 1,Site0010,,0.249,2006-08-01T00:00:00Z,2006-08-01T00:00:00.249837271Z,2006-08-01T00:00:00Z,7692.0,,A lightning strike caused a recloser on F_0000026 to operate twice and caused primary wire to fall to the ground.,PoW,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-9.937079,26.823677,"-0.9937079548835754,2.6823678016662598","-0.99370795,2.6823678,0.17382176,-0.58896035,1.2006638,0.10356015,0.7264086,1.001644,0.15576084,2.2457623,0.5095527,0.25876665,-2.719957,-0.15222079,1.7651745,-0.63186026,-0.87269515,-0.5291895,-1.3374311,-0.27969602,1.0120481,-0.061395895,1.9365529,1.2819663,-0.18505028,1.8465065,-0.36078003,0.21875492,-0.5788827,-0.49227163,0.1795677,2.530168,-0.21260238,-2.5104988,0.84696645,2.9822538,-4.254263,0.43610728,-1.1918226,0.57990605,0.6802646,0.21281554,-1.679565,-0.5862174,0.26775852,0.060798895,1.3743254,0.7541397,-1.7363782,-1.8290019,-0.90311396,0.42798322,0.34246516,0.27346992,-0.58354676,-0.5809061,0.95242333,0.030538231,1.273694,1.7113702,-0.28185737,2.3965142,-0.62037677,1.2983766"
7,1,Provider 1,Site0010,,0.233,2006-08-01T00:00:00Z,2006-08-01T00:00:00.233203137Z,2006-08-01T00:00:00Z,7692.0,,A lightning strike caused a recloser on F_0000026 to operate twice and caused primary wire to fall to the ground.,PoW,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-9.89209,26.929344,"-0.9892089366912842,2.692934513092041","-0.98920894,2.6929345,0.16496517,-0.59481436,1.1981509,0.10252613,0.73814285,1.0160114,0.1462107,2.239129,0.5167684,0.2678454,-2.7220995,-0.13929483,1.7701489,-0.64786965,-0.86506903,-0.54105157,-1.327947,-0.27837327,1.018886,-0.06926645,1.9456683,1.2803484,-0.184279,1.8383229,-0.3361756,0.23511845,-0.5748277,-0.49622843,0.18789524,2.518303,-0.22015065,-2.5038369,0.84723145,2.9805608,-4.274168,0.44310588,-1.1908699,0.5670397,0.6795945,0.22485073,-1.6802044,-0.59963465,0.27344275,0.06522907,1.3697507,0.7547542,-1.7308264,-1.8233342,-0.9069068,0.4309969,0.34075832,0.27185875,-0.5884658,-0.57064503,0.94194895,0.032638162,1.2770437,1.7055788,-0.2813946,2.4140117,-0.62130725,1.297677"
8,1,Provider 1,Site0009_F_0000065,,0.098,2004-12-31T23:59:59.983333333Z,2005-01-01T00:00:00.082291666Z,2004-12-31T23:59:59.983333333Z,961.0,,Fault caused line recloser lockout. Tree Outside Right of Way (Fall/Lean On Primary),PoW,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-10.28345,27.509077,"-1.028344988822937,2.7509076595306396","-1.028345,2.7509077,0.041310746,-0.7160116,1.1113665,0.11141294,0.7470169,0.9503536,0.18893293,2.3043466,0.5872126,0.37958103,-2.809459,0.028871775,1.7389511,-0.82933813,-0.7676705,-0.64599824,-1.2873209,-0.27385965,1.1307465,-0.12531473,2.0507348,1.3749499,-0.18584087,1.7494434,-0.24873391,0.30085507,-0.4690893,-0.53939193,0.17241862,2.5216112,-0.21562237,-2.464875,0.7981488,3.1189027,-4.4097567,0.57823753,-1.2314512,0.55248606,0.78464544,0.24448915,-1.4941514,-0.7298598,0.2263868,0.101364985,1.1794171,0.70364064,-1.6020675,-1.8342586,-0.9771921,0.5922844,0.38017142,0.29823774,-0.5886326,-0.49841696,1.0014491,0.04496309,1.2735825,1.6178002,-0.43278062,2.5618906,-0.72547996,1.2563522"
9,1,Provider 1,Site0014,,0.083,2006-10-31T00:00:00Z,2006-10-31T00:00:00.083203129Z,2006-10-31T00:00:00Z,7692.0,,A conductor off the pin on F_0000012 out of Site0014 Sub. caused a recloser to trip.,PoW,Equipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-10.148215,27.223034,"-1.0148215293884277,2.7223033905029297","-1.0148215,2.7223034,0.06350805,-0.66860086,1.1379955,0.10296911,0.74445516,0.9694021,0.17414382,2.2975237,0.5785423,0.3223949,-2.8206837,-0.031717002,1.7728355,-0.77669185,-0.8036185,-0.606634,-1.2827939,-0.26500097,1.0901561,-0.11137237,2.0285506,1.3321375,-0.15818241,1.7976004,-0.27021256,0.2683923,-0.50091994,-0.5421011,0.1683813,2.5152266,-0.2291984,-2.482601,0.7973513,3.051074,-4.3897333,0.51957554,-1.2202052,0.5659716,0.7450391,0.22936912,-1.5697463,-0.6932061,0.24854927,0.104169026,1.2447228,0.7193118,-1.6556067,-1.8402491,-0.9603742,0.55038464,0.36629355,0.30200648,-0.5810106,-0.5280666,0.9934349,0.043885976,1.2751467,1.6910224,-0.3967613,2.530253,-0.67185444,1.2567723"
10,1,Provider 1,Site0014,,0.183,2006-08-10T00:00:00Z,2006-08-10T00:00:00.183226987Z,2006-08-10T00:00:00Z,7692.0,,No outage information found for this event. May have been a temporary fault cleared by a successful recloser operation per the sag duration.,PoW,Events::Fault::Momentary/r/nEvents::System Event/Condition::Sag/r/nEquipment::Interrupting Device::Recloser,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-10.053931,27.06086,"-1.005393147468567,2.7060859203338623","-1.0053931,2.706086,0.13984497,-0.63513213,1.1704643,0.103589356,0.74898535,0.9823282,0.15867253,2.2511108,0.52874726,0.2750858,-2.7429025,-0.095864475,1.763235,-0.6911531,-0.8474885,-0.55693024,-1.3075141,-0.262172,1.0441092,-0.08558656,1.9562677,1.29997,-0.17033747,1.8188921,-0.3085226,0.24765089,-0.55380344,-0.508742,0.18800187,2.5164144,-0.20246446,-2.4931617,0.821036,3.0276358,-4.3306055,0.45612967,-1.207806,0.5696148,0.69623756,0.21918376,-1.6386523,-0.62424576,0.25145558,0.057550203,1.3318546,0.7472669,-1.6961954,-1.8243432,-0.93664956,0.46726546,0.33506405,0.27554584,-0.57910085,-0.5565557,0.9637424,0.028257221,1.2617025,1.6810704,-0.31901014,2.4499729,-0.6470739,1.2848368"
