id,vae_x,vae_y,vae_eventTags,vae_cluster_label,tft_x,tft_y,tft_eventTags,tft_cluster_label
1,12.566887,-14.653004,Events::Other::Unknown/r/nEquipment::Interrupting Device::Recloser,0,10.827379,-5.001092,Events::Other::Unknown/r/nEquipment::Interrupting Device::Recloser,0
2,10.318513,-11.743479,Events::Fault::Momentary/r/nEvents::System Event/Condition::Sag/r/nEquipment::Interrupting Device::Recloser,0,-6.0727158,-3.755977,Events::Fault::Momentary/r/nEvents::System Event/Condition::Sag/r/nEquipment::Interrupting Device::Recloser,0
3,-7.79526,-15.7370825,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Circuit Breaker/r/nConditions::Equipment Conditions::Live wire on ground,0,-3.1536586,-2.1476526,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Circuit Breaker/r/nConditions::Equipment Conditions::Live wire on ground,0
4,12.332798,-15.801509,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0,-2.272807,-7.4648523,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0
5,12.268393,-14.636761,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0,11.332212,-5.027978,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0
6,11.599248,-17.522814,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0,11.410663,-4.9847403,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0
7,11.859157,-17.220158,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0,11.375978,-4.9940376,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0
8,-24.963482,-1.7139765,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser,1,11.123698,-5.189195,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser,0
9,-9.377158,-15.080917,Equipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,0,-2.3035338,-0.96359754,Equipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,0
10,11.942258,-14.609228,Events::Fault::Momentary/r/nEvents::System Event/Condition::Sag/r/nEquipment::Interrupting Device::Recloser,0,10.827683,-5.0006914,Events::Fault::Momentary/r/nEvents::System Event/Condition::Sag/r/nEquipment::Interrupting Device::Recloser,0
11,12.131977,-16.683714,Events::Other::Mylar Balloon/r/nEquipment::Substation::Distribution/r/nEquipment::Interrupting Device::Recloser,0,10.808959,-4.975081,Events::Other::Mylar Balloon/r/nEquipment::Substation::Distribution/r/nEquipment::Interrupting Device::Recloser,0
12,12.189708,-14.677421,Equipment::Substation::Distribution/r/nEquipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,0,-2.292701,-7.3838296,Equipment::Substation::Distribution/r/nEquipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,0
13,5.792783,-11.463109,Equipment::Substation::Distribution/r/nEquipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,0,-2.3405945,-7.105174,Equipment::Substation::Distribution/r/nEquipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,0
14,4.7345624,-12.790524,Events::Other::Unknown/r/nEquipment::Interrupting Device::Recloser,0,-4.616727,-4.1048317,Events::Other::Unknown/r/nEquipment::Interrupting Device::Recloser,0
15,-25.00359,-1.34723,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser/r/nEvents::Fault::Unknown Fault,1,-3.1057441,9.267901,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser/r/nEvents::Fault::Unknown Fault,1
16,-25.544329,-3.4067016,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser/r/nEvents::Fault::Unknown Fault,1,-3.1540632,9.318489,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser/r/nEvents::Fault::Unknown Fault,1
17,-25.461983,-3.3495286,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser,1,-3.0751703,9.23353,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser,1
18,-24.920597,-0.9588957,Events::Error::Conductor Sag or Inadequate Clearance,1,-3.5565457,9.819408,Events::Error::Conductor Sag or Inadequate Clearance,1
19,-24.225222,-1.70201,Events::Equipment Failure::Equipment Failure/r/nEvents::Fault::Insulation Fault/r/nEquipment::Overhead Equipment::Insulator,1,-3.8080535,9.418538,Events::Equipment Failure::Equipment Failure/r/nEvents::Fault::Insulation Fault/r/nEquipment::Overhead Equipment::Insulator,1
20,-25.099424,2.2383025,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,1,-7.3206034,9.692162,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,1
21,-23.800962,-0.43144816,Events::Construction & Maintenance::Forced Maintenance,1,-7.326162,9.695514,Events::Construction & Maintenance::Forced Maintenance,1
22,-23.193892,3.9907315,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,1,-7.352007,9.69748,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,1
23,-23.734083,2.023937,Events::Vegetation::Tree,1,-7.5142574,9.657955,Events::Vegetation::Tree,1
24,-26.354628,0.14624086,Conditions::Weather::Lightning Storm/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Interrupting Device::Fuse,1,-4.0155144,9.743655,Conditions::Weather::Lightning Storm/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Interrupting Device::Fuse,1
25,-24.639194,2.3761072,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,1,-6.717163,9.80611,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,1
26,-23.349194,4.088385,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,1,-3.5609872,9.82799,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,1
27,-22.573204,-0.2282431,Events::Equipment Failure::Transformer Failure/r/nEvents::Protection Event::Fuse Blow/r/nEquipment::Transformer::Overhead Service Transformer,1,-3.9138243,10.532813,Events::Equipment Failure::Transformer Failure/r/nEvents::Protection Event::Fuse Blow/r/nEquipment::Transformer::Overhead Service Transformer,1
28,-26.35464,0.27324596,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Interrupting Device::Fuse,1,-3.344363,9.521992,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Interrupting Device::Fuse,1
29,-23.342108,4.1851964,Events::Equipment Failure::Transformer Failure/r/nEvents::External::Lightning Strike/r/nEquipment::Transformer::Overhead Service Transformer,1,-7.3018103,9.698697,Events::Equipment Failure::Transformer Failure/r/nEvents::External::Lightning Strike/r/nEquipment::Transformer::Overhead Service Transformer,1
30,-23.62955,4.095832,Events::Equipment Failure::Transformer Failure/r/nEvents::External::Lightning Strike/r/nEquipment::Transformer::Overhead Service Transformer,1,-4.776173,10.081281,Events::Equipment Failure::Transformer Failure/r/nEvents::External::Lightning Strike/r/nEquipment::Transformer::Overhead Service Transformer,1
31,-24.710127,-1.8033864,Events::Equipment Failure::Equipment Failure/r/nEquipment::Overhead Equipment::Insulator,1,-7.0672197,15.1861,Events::Equipment Failure::Equipment Failure/r/nEquipment::Overhead Equipment::Insulator,1
32,-23.370846,1.7458913,Conditions::Weather::Heavy Rain/r/nConditions::Weather::Lightning Storm/r/nEvents::Other::Unknown/r/nEquipment::Interrupting Device::Fuse,1,-6.82441,15.593444,Conditions::Weather::Heavy Rain/r/nConditions::Weather::Lightning Storm/r/nEvents::Other::Unknown/r/nEquipment::Interrupting Device::Fuse,1
