id,sigTypeId,dataSource,deviceName,deviceType,waveDuration,waveStartTimestamp,waveEndTimestamp,eventStartTimestamp,samplingRate,faultType,description,dataType,eventTags,eventTagsBi,eventTags_color,embedding_x,embedding_y,embedding_coord,embedding_vectors,cluster_label,cluster_prob
413,1,Provider 2,arenas-pr-10006,,179.0,2020-01-20T08:35:23Z,2020-01-20T08:38:22Z,2020-01-20T08:36:23Z,1.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",0.13665149,-0.5595645,"0.13665148615837097,-0.559564471244812","0.13665049,-0.55956435,0.16460529,-0.06055127,0.014312087,-0.02314358,-0.0013093697,-0.008435606,0.0019951186,0.006269314",2.0,1.0
414,1,Provider 2,arena-pr-xZcYcKVnHmqq9NSRmteJPC,,179.8,2019-12-23T17:56:09.700Z,2019-12-23T17:59:09.500Z,2019-12-23T17:57:09.600Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",-0.87852573,-0.26659676,"-0.8785257339477539,-0.2665967643260956","-0.8785258,-0.2665966,-0.21343572,-0.0019562976,-0.007087761,0.0070484383,0.0011265588,-0.0038880368,-0.009003873,0.00051269063",1.0,1.0
415,1,Provider 2,arena-pr-H6oAJesicMevoBCWXhyU3f,,179.9,2019-12-13T13:53:29.900Z,2019-12-13T13:56:29.800Z,2019-12-13T13:54:29.900Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",-0.8802992,-0.26601663,"-0.8802992105484009,-0.2660166323184967","-0.88029927,-0.26601657,-0.21342012,-0.0016452768,-0.0068696872,0.0071097394,0.0030663123,-0.0038641375,-0.008837732,0.00051072484",1.0,1.0
416,1,Provider 2,arenas-pr-10006,,179.0,2020-01-25T09:35:52Z,2020-01-25T09:38:51Z,2020-01-25T09:36:52Z,1.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",0.13852265,-0.5603938,"0.1385226547718048,-0.5603938102722168","0.13852257,-0.5603937,0.16262297,-0.060367268,0.0149206305,-0.024019292,-0.0060483133,-0.008363239,0.0015882588,0.007279944",2.0,1.0
417,1,Provider 2,arena-pr-xZcYcKVnHmqq9NSRmteJPC,,179.6,2019-12-26T05:45:31.400Z,2019-12-26T05:48:31Z,2019-12-26T05:46:31.400Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.87999314,-0.26604223,"-0.8799931406974792,-0.26604223251342773","-0.8799932,-0.26604217,-0.21510719,-0.0011753957,-0.0066521293,0.0070563545,0.0024759022,-0.0038439403,-0.008789266,0.00059109845",1.0,1.0
418,1,Provider 2,arena-pr-xZcYcKVnHmqq9NSRmteJPC,,179.6,2019-12-26T06:29:00.400Z,2019-12-26T06:32:00Z,2019-12-26T06:30:00.400Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.89288944,-0.6569069,"-0.8928894400596619,-0.6569069027900696","-0.89288956,-0.65690684,-0.22981416,-0.1446575,0.05869635,0.01887037,-0.0016267943,0.027985485,0.008369954,-0.0026583218",7.0,1.0
419,1,Provider 2,arena-pr-H6oAJesicMevoBCWXhyU3f,,180.0,2019-12-13T18:17:20.700Z,2019-12-13T18:20:20.700Z,2019-12-13T18:18:20.700Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.8930701,-0.65672165,"-0.8930701017379761,-0.6567216515541077","-0.8930702,-0.6567216,-0.23021568,-0.14459896,0.058683965,0.018902376,-0.0015211946,0.028002791,0.008379732,-0.0026844302",7.0,1.0
420,1,Provider 2,arena-pr-H6oAJesicMevoBCWXhyU3f,,179.9,2020-03-17T10:04:03.900Z,2020-03-17T10:07:03.800Z,2020-03-17T10:05:03.900Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.89271617,-0.6568289,"-0.8927161693572998,-0.6568288803100586","-0.8927162,-0.6568287,-0.23039924,-0.14450246,0.0586856,0.01885939,-0.0019410942,0.028028483,0.008382795,-0.0026200835",7.0,1.0
421,1,Provider 2,arena-pr-H6oAJesicMevoBCWXhyU3f,,179.6,2019-12-06T00:19:09.400Z,2019-12-06T00:22:09Z,2019-12-06T00:20:09.400Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.8929745,-0.65694106,"-0.8929744958877563,-0.6569410562515259","-0.89297456,-0.65694094,-0.22954427,-0.14472677,0.05870176,0.018875191,-0.0014763796,0.027966596,0.0083626555,-0.0026762942",7.0,1.0
422,1,Provider 2,arena-pr-ygyY6ArmuzqYH5Zv57jpPc,,179.6,2019-12-06T00:19:09.400Z,2019-12-06T00:22:09Z,2019-12-06T00:20:09.400Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.8928409,-0.65697604,"-0.8928409218788147,-0.656976044178009","-0.89284104,-0.65697604,-0.22957733,-0.14474563,0.058684207,0.01887126,-0.001638313,0.027966855,0.008349149,-0.0026645553",7.0,1.0
423,1,Provider 2,arena-pr-xZcYcKVnHmqq9NSRmteJPC,,179.9,2020-03-10T22:26:12Z,2020-03-10T22:29:11.900Z,2020-03-10T22:27:12Z,2.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",2.4320414,0.34593698,"2.4320414066314697,0.34593698382377625","2.4320412,0.34593713,-0.2220712,-0.032646943,0.04604911,0.03301775,-0.015086645,-0.017647743,0.005269826,0.002646625",6.0,1.0
424,1,Provider 2,arena-pr-ygyY6ArmuzqYH5Zv57jpPc,,179.8,2019-12-13T18:06:01.700Z,2019-12-13T18:09:01.500Z,2019-12-13T18:07:01.600Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.7548615,1.0454601,"-0.7548614740371704,1.0454601049423218","-0.7548616,1.0454602,-0.060195837,-0.017604856,0.0352655,-0.028895361,0.0036153572,-0.0018709138,-0.012333759,-5.432922e-05",3.0,1.0
