id,vae_x,vae_y,vae_eventTags,vae_cluster_label,tft_x,tft_y,tft_eventTags,tft_cluster_label
1,8.196219,9.223596,Events::Other::Unknown/r/nEquipment::Interrupting Device::Recloser,0,0.95937663,-2.8629487,Events::Other::Unknown/r/nEquipment::Interrupting Device::Recloser,0
2,5.126024,10.731006,Events::Fault::Momentary/r/nEvents::System Event/Condition::Sag/r/nEquipment::Interrupting Device::Recloser,0,-11.205523,-12.262294,Events::Fault::Momentary/r/nEvents::System Event/Condition::Sag/r/nEquipment::Interrupting Device::Recloser,1
3,-10.435208,-0.262847,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Circuit Breaker/r/nConditions::Equipment Conditions::Live wire on ground,1,-9.155425,-9.722356,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Circuit Breaker/r/nConditions::Equipment Conditions::Live wire on ground,1
4,8.845921,8.563656,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0,-4.921785,-14.607227,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,1
5,8.166704,9.48324,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0,1.3242807,-2.564168,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0
6,10.100825,7.0467625,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0,1.4163357,-2.6355798,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0
7,9.871338,7.395465,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0,1.3851902,-2.628037,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Live wire on ground,0
8,-34.07037,0.8369985,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser,2,1.0837343,-2.3896675,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser,0
9,-12.040169,-1.0337144,Equipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,1,-8.130405,-8.42966,Equipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,1
10,7.9653344,9.742473,Events::Fault::Momentary/r/nEvents::System Event/Condition::Sag/r/nEquipment::Interrupting Device::Recloser,0,0.960576,-2.862831,Events::Fault::Momentary/r/nEvents::System Event/Condition::Sag/r/nEquipment::Interrupting Device::Recloser,0
11,9.450461,7.924213,Events::Other::Mylar Balloon/r/nEquipment::Substation::Distribution/r/nEquipment::Interrupting Device::Recloser,0,0.98020667,-2.9150977,Events::Other::Mylar Balloon/r/nEquipment::Substation::Distribution/r/nEquipment::Interrupting Device::Recloser,0
12,8.198491,9.5270815,Equipment::Substation::Distribution/r/nEquipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,0,-5.0604243,-14.493044,Equipment::Substation::Distribution/r/nEquipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,1
13,-3.7870657,9.091299,Equipment::Substation::Distribution/r/nEquipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,0,-5.7567525,-13.746728,Equipment::Substation::Distribution/r/nEquipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Recloser/r/nConditions::Equipment Conditions::Conductor off insulator,1
14,-0.18122113,9.571861,Events::Other::Unknown/r/nEquipment::Interrupting Device::Recloser,0,-9.897818,-11.8560295,Events::Other::Unknown/r/nEquipment::Interrupting Device::Recloser,1
15,-33.86348,0.52457,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser/r/nEvents::Fault::Unknown Fault,2,-13.28319,4.2884994,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser/r/nEvents::Fault::Unknown Fault,2
16,-35.749737,1.9516318,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser/r/nEvents::Fault::Unknown Fault,2,-13.306289,4.3175263,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser/r/nEvents::Fault::Unknown Fault,2
17,-35.569138,1.8910133,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser,2,-13.244614,4.265333,Events::Vegetation::Tree/r/nEquipment::Interrupting Device::Recloser,2
18,-33.545246,0.16553733,Events::Error::Conductor Sag or Inadequate Clearance,2,-13.710502,4.739832,Events::Error::Conductor Sag or Inadequate Clearance,2
19,-33.067783,0.8207133,Events::Equipment Failure::Equipment Failure/r/nEvents::Fault::Insulation Fault/r/nEquipment::Overhead Equipment::Insulator,2,-14.29119,4.0817566,Events::Equipment Failure::Equipment Failure/r/nEvents::Fault::Insulation Fault/r/nEquipment::Overhead Equipment::Insulator,2
20,-34.239902,-2.647357,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,2,-17.324402,2.5003507,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,2
21,-32.225544,-0.42859226,Events::Construction & Maintenance::Forced Maintenance,2,-17.326773,2.5009282,Events::Construction & Maintenance::Forced Maintenance,2
22,-30.038347,-3.0198927,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,2,-17.340065,2.491109,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,2
23,-32.617157,-2.6968157,Events::Vegetation::Tree,2,-17.436443,2.3669593,Events::Vegetation::Tree,2
24,-35.2094,-0.7370867,Conditions::Weather::Lightning Storm/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Interrupting Device::Fuse,2,-14.437553,4.269069,Conditions::Weather::Lightning Storm/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Interrupting Device::Fuse,2
25,-33.676544,-2.8210607,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,2,-16.950708,2.8504972,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,2
26,-30.055122,-3.21256,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,2,-13.694681,4.729527,Events::Vegetation::Tree/r/nPhase::Single-phase::Phase A,2
27,-31.136097,-0.56073964,Events::Equipment Failure::Transformer Failure/r/nEvents::Protection Event::Fuse Blow/r/nEquipment::Transformer::Overhead Service Transformer,2,-14.152583,5.221528,Events::Equipment Failure::Transformer Failure/r/nEvents::Protection Event::Fuse Blow/r/nEquipment::Transformer::Overhead Service Transformer,2
28,-35.249397,-0.8443563,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Interrupting Device::Fuse,2,-13.490079,4.489335,Events::External::Lightning Strike/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Interrupting Device::Fuse,2
29,-29.988373,-3.1421416,Events::Equipment Failure::Transformer Failure/r/nEvents::External::Lightning Strike/r/nEquipment::Transformer::Overhead Service Transformer,2,-17.3136,2.5136201,Events::Equipment Failure::Transformer Failure/r/nEvents::External::Lightning Strike/r/nEquipment::Transformer::Overhead Service Transformer,2
30,-30.08734,-3.1734228,Events::Equipment Failure::Transformer Failure/r/nEvents::External::Lightning Strike/r/nEquipment::Transformer::Overhead Service Transformer,2,-15.1911955,4.074802,Events::Equipment Failure::Transformer Failure/r/nEvents::External::Lightning Strike/r/nEquipment::Transformer::Overhead Service Transformer,2
31,-33.62936,0.9060536,Events::Equipment Failure::Equipment Failure/r/nEquipment::Overhead Equipment::Insulator,2,-19.903633,7.2866607,Events::Equipment Failure::Equipment Failure/r/nEquipment::Overhead Equipment::Insulator,2
32,-32.112793,-2.3510106,Conditions::Weather::Heavy Rain/r/nConditions::Weather::Lightning Storm/r/nEvents::Other::Unknown/r/nEquipment::Interrupting Device::Fuse,2,-20.28021,7.892165,Conditions::Weather::Heavy Rain/r/nConditions::Weather::Lightning Storm/r/nEvents::Other::Unknown/r/nEquipment::Interrupting Device::Fuse,2
33,-36.537033,-0.63492095,Events::Wildlife::Small Animal/r/nEquipment::Interrupting Device::Fuse,2,-19.078104,7.646921,Events::Wildlife::Small Animal/r/nEquipment::Interrupting Device::Fuse,2
34,-36.424152,-0.5542481,Events::Wildlife::Small Animal/r/nEquipment::Interrupting Device::Fuse,2,-18.978209,8.117332,Events::Wildlife::Small Animal/r/nEquipment::Interrupting Device::Fuse,2
35,-31.753256,-1.4333088,Events::Vegetation::Branches/r/nEvents::Vegetation::Tree,2,-20.412935,7.653722,Events::Vegetation::Branches/r/nEvents::Vegetation::Tree,2
36,-34.816086,-1.754327,Conditions::Weather::Ice/r/nEvents::Vegetation::Branches/r/nEvents::Vegetation::Tree/r/nEquipment::Interrupting Device::Fuse,2,-15.068786,6.088485,Conditions::Weather::Ice/r/nEvents::Vegetation::Branches/r/nEvents::Vegetation::Tree/r/nEquipment::Interrupting Device::Fuse,2
37,-34.673122,-0.45823407,Events::Vegetation::Tree,2,-15.198116,5.977443,Events::Vegetation::Tree,2
38,-36.50746,-0.72926885,Events::Vegetation::Branches/r/nEvents::Vegetation::Tree,2,-15.13961,6.0022526,Events::Vegetation::Branches/r/nEvents::Vegetation::Tree,2
39,-31.782564,-1.730622,Conditions::Weather::Heavy Rain/r/nEvents::Other::Unknown/r/nEquipment::Interrupting Device::Fuse,2,-15.182838,5.9852576,Conditions::Weather::Heavy Rain/r/nEvents::Other::Unknown/r/nEquipment::Interrupting Device::Fuse,2
40,-31.21399,-0.823098,Conditions::Weather::Heavy Rain/r/nEvents::Protection Event::Fuse Blow/r/nEvents::Other::Unknown/r/nEquipment::Interrupting Device::Fuse,2,-19.36268,7.830019,Conditions::Weather::Heavy Rain/r/nEvents::Protection Event::Fuse Blow/r/nEvents::Other::Unknown/r/nEquipment::Interrupting Device::Fuse,2
41,-31.406015,-0.15202628,Events::Equipment Failure::Equipment Failure/r/nEvents::Protection Event::Fuse Blow/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Interrupting Device::Fuse,2,-19.614214,7.21835,Events::Equipment Failure::Equipment Failure/r/nEvents::Protection Event::Fuse Blow/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Interrupting Device::Fuse,2
42,-33.909298,-3.8769448,Events::Protection Event::Fuse Blow/r/nEvents::Wildlife::Squirrel/r/nEquipment::Interrupting Device::Fuse,2,-19.554592,6.652496,Events::Protection Event::Fuse Blow/r/nEvents::Wildlife::Squirrel/r/nEquipment::Interrupting Device::Fuse,2
43,-33.922504,0.055684756,Events::Equipment Failure::Equipment Failure/r/nEvents::Equipment Failure::Transformer Failure/r/nEvents::Protection Event::Fuse Blow/r/nEquipment::Interrupting Device::Fuse/r/nEquipment::Transformer::Underground Service Transformer,2,-20.39669,7.393898,Events::Equipment Failure::Equipment Failure/r/nEvents::Equipment Failure::Transformer Failure/r/nEvents::Protection Event::Fuse Blow/r/nEquipment::Interrupting Device::Fuse/r/nEquipment::Transformer::Underground Service Transformer,2
44,-32.792397,-2.8066432,Events::Protection Event::Fuse Blow/r/nEvents::Other::Unknown/r/nEquipment::Interrupting Device::Fuse,2,-20.092358,7.9624295,Events::Protection Event::Fuse Blow/r/nEvents::Other::Unknown/r/nEquipment::Interrupting Device::Fuse,2
45,39.200993,-1.5673969,Events::External::Lightning Strike,3,22.355219,-1.2948191,Events::External::Lightning Strike,3
46,39.475533,-2.1523404,Events::Equipment Failure::Arcing,3,22.32429,-1.5024421,Events::Equipment Failure::Arcing,3
47,38.75935,-2.6967394,Events::Vegetation::Branches/r/nEvents::Vegetation::Tree,3,22.368896,-1.2764573,Events::Vegetation::Branches/r/nEvents::Vegetation::Tree,3
48,38.875175,-2.673268,Events::Equipment Failure::Arcing,3,22.351658,-1.7430274,Events::Equipment Failure::Arcing,3
49,39.349712,-2.3957987,Events::Equipment Failure::Arcing,3,22.364317,-1.7735956,Events::Equipment Failure::Arcing,3
50,38.927254,-2.649956,Events::Equipment Failure::Arcing,3,25.45401,-0.35993004,Events::Equipment Failure::Arcing,3
51,38.702827,-1.8994657,Events::Wildlife::Squirrel,3,25.404005,-0.4055,Events::Wildlife::Squirrel,3
52,38.763794,-1.6387408,Events::Equipment Failure::Equipment Failure/r/nEquipment::Overhead Equipment::Arrester,3,25.3806,-0.4343083,Events::Equipment Failure::Equipment Failure/r/nEquipment::Overhead Equipment::Arrester,3
53,38.191093,-2.180202,Events::Other::Unknown,3,25.322088,-0.5224919,Events::Other::Unknown,3
54,38.189747,-1.5466516,Equipment::Load::Motor/r/nState::Change State::Start,3,26.054686,-0.39553285,Equipment::Load::Motor/r/nState::Change State::Start,3
55,38.16531,-1.564,Events::Wildlife::Bird/r/nEvents::Wildlife::Small Bird,3,26.053707,-0.40063128,Events::Wildlife::Bird/r/nEvents::Wildlife::Small Bird,3
56,-31.771524,-1.7491878,Events::Vegetation::Overgrowth/r/nEquipment::Transformer::Overhead Service Transformer,2,1.0978938,-2.3730018,Events::Vegetation::Overgrowth/r/nEquipment::Transformer::Overhead Service Transformer,0
57,36.19782,-2.3506546,Conditions::Weather::High Winds/r/nEvents::Protection Event::Fuse Blow/r/nEvents::Vegetation::Branches/r/nEvents::Vegetation::Tree/r/nEquipment::Interrupting Device::Fuse,3,26.043005,-0.6020768,Conditions::Weather::High Winds/r/nEvents::Protection Event::Fuse Blow/r/nEvents::Vegetation::Branches/r/nEvents::Vegetation::Tree/r/nEquipment::Interrupting Device::Fuse,3
58,36.08509,-2.663878,Events::Equipment Failure::Transformer Failure/r/nEquipment::Transformer::Nonspecific Transformer,3,26.046144,-0.59895736,Events::Equipment Failure::Transformer Failure/r/nEquipment::Transformer::Nonspecific Transformer,3
59,36.006863,-2.0120225,Conditions::Weather::High Winds/r/nEvents::Vegetation::Tree,3,25.414907,-0.86257005,Conditions::Weather::High Winds/r/nEvents::Vegetation::Tree,3
60,34.733578,-1.8948549,Events::Other::Unknown,3,25.421988,-0.8784356,Events::Other::Unknown,3
61,35.909775,-2.0780423,Events::Equipment Failure::Nonspecific Equipment Failure/r/nEquipment::Switch::Nonspecific Switch,3,25.423725,-1.0178213,Events::Equipment Failure::Nonspecific Equipment Failure/r/nEquipment::Switch::Nonspecific Switch,3
62,34.489113,-2.4654832,Equipment::Overhead Equipment::Jumper/r/nEvents::Equipment Failure::Arcing,3,25.457123,-1.2259053,Equipment::Overhead Equipment::Jumper/r/nEvents::Equipment Failure::Arcing,3
63,34.519787,-1.9081718,Equipment::Overhead Equipment::Jumper/r/nEvents::Equipment Failure::Arcing,3,22.90488,-1.1566414,Equipment::Overhead Equipment::Jumper/r/nEvents::Equipment Failure::Arcing,3
