id,sigTypeId,dataSource,deviceName,deviceType,waveDuration,waveStartTimestamp,waveEndTimestamp,eventStartTimestamp,samplingRate,faultType,description,dataType,eventTags,eventTagsBi,eventTags_color,embedding_x,embedding_y,embedding_coord,embedding_vectors
100-1,1,Provider 1,Site0003_F_0000050,,1.996,2007-03-22T00:00:00Z,2007-03-22T00:00:01.996800Z,2007-03-22T00:00:00.638170Z,15385.0,,deteriorated line fuse.,PoW,Events::Defect or Deterioration::Equip Deterioration/r/nEquipment::Interrupting Device::Fuse,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.39720044,0.20781736,"-0.39720043540000916,0.20781736075878143","[-0.39720044  0.20781736  0.32346314 -0.68726385 -0.03653865 -0.00113434
  0.23820296 -0.40019    -0.47878152  0.6118194   0.5702763   0.1477974
  0.01984536  0.03994536 -0.32041466  0.17938791 -0.10406072  0.41501522
  0.08799779  0.18392    -0.1978058  -0.2807458   0.6707344   0.23380801
  0.08209961 -0.03568291 -0.53648174 -0.24398609  0.7551879   0.25943083
 -0.46299058 -0.3998002   0.04081152  0.32126752  0.19968079  0.11323559
  0.4008447  -0.30464977 -0.00741513 -0.91727686  0.47589993  0.21179253
  0.2568055   0.14272536 -0.23180135  0.2901438  -0.1552102  -0.11107676
 -0.20153482  0.09783334  0.5486126  -0.5221281   0.72276944  0.13182855
  0.20026192 -0.55135024 -0.1551722   0.4751057  -0.5407917   0.13922766
  0.3439689  -0.13387462 -0.04100234  0.06307506]"
100-2,1,Provider 1,Site0003_F_0000050,,1.996,2007-03-22T00:00:00Z,2007-03-22T00:00:01.996800Z,2007-03-22T00:00:00.638170Z,15385.0,,deteriorated line fuse.,PoW,Events::Defect or Deterioration::Equip Deterioration/r/nEquipment::Interrupting Device::Fuse,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.39645904,0.20847349,"-0.39645904302597046,0.20847348868846893","[-0.39645904  0.20847349  0.3473149  -0.6938231  -0.04084444  0.00602994
  0.23469241 -0.40239355 -0.48477554  0.6075037   0.56206995  0.13803211
  0.01915878  0.03606261 -0.3351522   0.19119005 -0.10200974  0.4215213
  0.08449028  0.19509706 -0.20387287 -0.28365213  0.67345536  0.21765473
  0.07856654 -0.02530772 -0.5383203  -0.23775427  0.74574083  0.26235873
 -0.46754926 -0.39611495  0.03434245  0.31898388  0.21171455  0.11068982
  0.40951657 -0.3066612   0.00655577 -0.9274565   0.47314632  0.20912194
  0.24704067  0.1487812  -0.23136123  0.2841769  -0.15987225 -0.11414992
 -0.20553277  0.08862783  0.54541147 -0.5051035   0.71227396  0.13034901
  0.21305837 -0.54940593 -0.1488029   0.47585285 -0.5525817   0.13547048
  0.34495327 -0.13024889 -0.04027528  0.06394801]"
101-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.303615Z,15385.0,,close last phase after truck hit p.,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase-ground::Phase AG,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.40025526,0.22190659,"-0.4002552628517151,0.22190658748149872","[-0.40025526  0.22190659  0.31058875 -0.6790736  -0.02178537 -0.00722915
  0.25108266 -0.3855763  -0.4683534   0.63726217  0.56165755  0.14872688
 -0.020753    0.04343106 -0.30138242  0.1493087  -0.10963342  0.40114152
  0.12089124  0.17784369 -0.19105743 -0.3141539   0.66150975  0.2577887
  0.06545123 -0.015956   -0.55263793 -0.22873247  0.7619007   0.27097982
 -0.46118283 -0.40391424  0.02027994  0.3002577   0.20872666  0.1380405
  0.39557332 -0.3002199  -0.00522862 -0.922524    0.4740569   0.21506536
  0.2559027   0.13595174 -0.25868818  0.2901615  -0.18240121 -0.1275968
 -0.16583638  0.093927    0.5616514  -0.49999017  0.7236187   0.14205495
  0.18225835 -0.563197   -0.14006929  0.4763717  -0.53244555  0.13279708
  0.3397489  -0.15452212 -0.02369871  0.07840435]"
101-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.303615Z,15385.0,,close last phase after truck hit p.,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase-ground::Phase AG,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.4019248,0.21591619,"-0.4019247889518738,0.21591618657112122","[-0.4019248   0.21591619  0.30286247 -0.67805135 -0.02529886 -0.00721655
  0.24784908 -0.38988432 -0.47004515  0.6303752   0.56835514  0.1525634
 -0.00370925  0.04196009 -0.30011553  0.15427966 -0.10760284  0.40177238
  0.11121516  0.17561711 -0.18964072 -0.3002981   0.6616974   0.25827032
  0.07307335 -0.02937964 -0.5441824  -0.23797233  0.76462096  0.2643736
 -0.4587716  -0.4046268   0.03080304  0.30909622  0.19525264  0.13102862
  0.39272386 -0.30012256 -0.01691177 -0.9152641   0.47554636  0.2158499
  0.2599053   0.13295834 -0.2480888   0.29433686 -0.17023967 -0.119601
 -0.1770596   0.09863871  0.55977213 -0.51698107  0.727943    0.13950098
  0.18046236 -0.55884755 -0.14976814  0.47529978 -0.525835    0.13736889
  0.3410139  -0.14824846 -0.02894668  0.07415126]"
102-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.805740Z,15385.0,,close another phase.,PoW,State::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase::Phase B/r/nPhase::Single-phase-ground::Phase BG,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.4011879,0.20677899,"-0.4011878967285156,0.20677898824214935","[-0.4011879   0.20677899  0.32210737 -0.6838503  -0.03665013 -0.00143124
  0.23534599 -0.39589146 -0.48029798  0.6111126   0.5672144   0.14459383
  0.01875607  0.03556152 -0.31786752  0.18035412 -0.10070215  0.41332352
  0.08463408  0.18482284 -0.1957641  -0.28251082  0.66861635  0.23752338
  0.07961289 -0.03481457 -0.53644097 -0.23926781  0.7529657   0.25815615
 -0.45840424 -0.39798224  0.03741676  0.32009923  0.19466545  0.11573906
  0.40030223 -0.30212986 -0.00850905 -0.91345024  0.4719687   0.21268976
  0.2554282   0.14170693 -0.23485923  0.2933538  -0.15596472 -0.11137429
 -0.19747622  0.09649978  0.55162734 -0.5227412   0.72777206  0.1305307
  0.19516645 -0.55049044 -0.15709554  0.47865498 -0.5377054   0.14265047
  0.34765968 -0.13589394 -0.03921176  0.06531089]"
102-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.805740Z,15385.0,,close another phase.,PoW,State::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase::Phase B/r/nPhase::Single-phase-ground::Phase BG,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.3998684,0.20026559,"-0.3998683989048004,0.20026558637619019","[-0.3998684   0.20026559  0.2855671  -0.6572757  -0.03045134 -0.03666404
  0.2344051  -0.38290688 -0.47239518  0.5907432   0.58465827  0.1421937
  0.02890398 -0.00117175 -0.2816702   0.16818734 -0.12484231  0.40937454
  0.10159549  0.18379107 -0.19951765 -0.28010237  0.6379233   0.24387479
  0.11539301 -0.05750585 -0.5246384  -0.22914395  0.7218447   0.24412069
 -0.40722775 -0.3924852   0.04323204  0.3309906   0.1493665   0.1142534
  0.3604796  -0.28759563  0.00627009 -0.86025023  0.43506247  0.22970411
  0.23565158  0.0934626  -0.22294688  0.25906292 -0.14013581 -0.09753779
 -0.19979627  0.12572762  0.548364   -0.52422655  0.71048224  0.11956511
  0.16419253 -0.5345124  -0.14437687  0.44267243 -0.48394316  0.12981296
  0.34258765 -0.14130688 -0.02023276  0.05680153]"
103-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.936325Z,15385.0,,close phase A after pole repair.,PoW,State::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase::Nonspecific Single-phase,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.4017332,0.20499477,"-0.4017331898212433,0.20499476790428162","[-0.4017332   0.20499477  0.2743621  -0.6589273  -0.02796384 -0.03792235
  0.24167405 -0.37865952 -0.4734345   0.60035133  0.58178955  0.14362377
  0.01754861  0.00132535 -0.2707858   0.16015083 -0.1235508   0.40358126
  0.11495201  0.1782065  -0.20080473 -0.29223597  0.6296341   0.25607526
  0.11131729 -0.04987041 -0.52589554 -0.2273333   0.72715604  0.24911024
 -0.4068423  -0.393012    0.0389192   0.3223168   0.14847475  0.12842947
  0.35940325 -0.28495213 -0.00325161 -0.8616363   0.43525177  0.22777206
  0.2375252   0.08839825 -0.23037875  0.26137644 -0.14603332 -0.10704754
 -0.19045524  0.13153106  0.5556047  -0.52208096  0.71354747  0.12023468
  0.15798533 -0.53826916 -0.14409505  0.4455375  -0.48143882  0.12966555
  0.34325546 -0.14750397 -0.01041286  0.06486499]"
103-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.936325Z,15385.0,,close phase A after pole repair.,PoW,State::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase::Nonspecific Single-phase,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.40568075,0.1967783,"-0.40568074584007263,0.1967782974243164","[-0.40568075  0.1967783   0.29498446 -0.66310513 -0.03500162 -0.03210267
  0.22898778 -0.38413912 -0.47715616  0.58412963  0.5768439   0.13766254
  0.03193399 -0.0053518  -0.2865618   0.17497773 -0.11888678  0.41076523
  0.09767289  0.19040194 -0.20102039 -0.2849738   0.63782465  0.2349256
  0.11278011 -0.05329484 -0.52543175 -0.22836295  0.715365    0.24276336
 -0.41058546 -0.38529998  0.03860305  0.32971993  0.15439577  0.11439055
  0.36566597 -0.29011953  0.00643105 -0.85932064  0.4325574   0.22621033
  0.22979514  0.09485833 -0.2195162   0.25791472 -0.14130819 -0.0986813
 -0.20211767  0.1243824   0.5470355  -0.5180401   0.70897907  0.11781445
  0.17207013 -0.530844   -0.13884938  0.44474512 -0.49194705  0.12790266
  0.346822   -0.13768241 -0.02000451  0.05947073]"
104-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.936325Z,15385.0,,truck hit pole sub breaker 1225 33.,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Open/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Substation::Nonspecific Substation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.4017332,0.20499477,"-0.4017331898212433,0.20499476790428162","[-0.4017332   0.20499477  0.2743621  -0.6589273  -0.02796384 -0.03792235
  0.24167405 -0.37865952 -0.4734345   0.60035133  0.58178955  0.14362377
  0.01754861  0.00132535 -0.2707858   0.16015083 -0.1235508   0.40358126
  0.11495201  0.1782065  -0.20080473 -0.29223597  0.6296341   0.25607526
  0.11131729 -0.04987041 -0.52589554 -0.2273333   0.72715604  0.24911024
 -0.4068423  -0.393012    0.0389192   0.3223168   0.14847475  0.12842947
  0.35940325 -0.28495213 -0.00325161 -0.8616363   0.43525177  0.22777206
  0.2375252   0.08839825 -0.23037875  0.26137644 -0.14603332 -0.10704754
 -0.19045524  0.13153106  0.5556047  -0.52208096  0.71354747  0.12023468
  0.15798533 -0.53826916 -0.14409505  0.4455375  -0.48143882  0.12966555
  0.34325546 -0.14750397 -0.01041286  0.06486499]"
104-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.936325Z,15385.0,,truck hit pole sub breaker 1225 33.,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Open/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Substation::Nonspecific Substation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.40568075,0.1967783,"-0.40568074584007263,0.1967782974243164","[-0.40568075  0.1967783   0.29498446 -0.66310513 -0.03500162 -0.03210267
  0.22898778 -0.38413912 -0.47715616  0.58412963  0.5768439   0.13766254
  0.03193399 -0.0053518  -0.2865618   0.17497773 -0.11888678  0.41076523
  0.09767289  0.19040194 -0.20102039 -0.2849738   0.63782465  0.2349256
  0.11278011 -0.05329484 -0.52543175 -0.22836295  0.715365    0.24276336
 -0.41058546 -0.38529998  0.03860305  0.32971993  0.15439577  0.11439055
  0.36566597 -0.29011953  0.00643105 -0.85932064  0.4325574   0.22621033
  0.22979514  0.09485833 -0.2195162   0.25791472 -0.14130819 -0.0986813
 -0.20211767  0.1243824   0.5470355  -0.5180401   0.70897907  0.11781445
  0.17207013 -0.530844   -0.13884938  0.44474512 -0.49194705  0.12790266
  0.346822   -0.13768241 -0.02000451  0.05947073]"
