id,sigTypeId,dataSource,deviceName,deviceType,waveDuration,waveStartTimestamp,waveEndTimestamp,eventStartTimestamp,samplingRate,faultType,description,dataType,eventTags,eventTagsBi,eventTags_color,embedding_x,embedding_y,embedding_coord,embedding_vectors,cluster_label,cluster_prob
413,1,Provider 2,arenas-pr-10006,,179.0,2020-01-20T08:35:23Z,2020-01-20T08:38:22Z,2020-01-20T08:36:23Z,1.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",-6.763692,21.882475,"-6.7636919021606445,21.882474899291992","0.3341866,-0.2920097,0.388453,-0.1341197,0.5015496,-1.5490043,0.095523566,1.2666109,1.1370184,0.845081,0.26613563,1.0116279,0.013483867,-0.5554308,0.06511793,0.2149372,0.6677912,0.24011129,0.2351637,-0.51018584,0.32639998,-0.41695046,0.22579251,0.4279616,-0.1471111,-0.48898572,-0.36595744,-1.0066507,-0.71803534,0.54732776,0.08795135,0.5306341",10.0,1.0
414,1,Provider 2,arena-pr-xZcYcKVnHmqq9NSRmteJPC,,179.8,2019-12-23T17:56:09.700Z,2019-12-23T17:59:09.500Z,2019-12-23T17:57:09.600Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",-12.350623,19.97696,"-12.35062313079834,19.976959228515625","0.29813036,-0.2044069,0.5143862,0.17682089,0.515453,-1.3372521,-0.02755339,1.1731693,1.2899067,0.57723176,0.21354705,0.92778957,-0.104353726,-0.33136803,0.17652053,0.1702763,0.8442696,0.24791133,0.23108351,-0.7317798,0.18892269,-0.37552553,0.07785555,0.2824529,-0.09528163,-0.44504306,-0.4824384,-0.96596694,-0.7914254,0.6564971,0.024609335,0.38579535",2.0,1.0
415,1,Provider 2,arena-pr-H6oAJesicMevoBCWXhyU3f,,179.9,2019-12-13T13:53:29.900Z,2019-12-13T13:56:29.800Z,2019-12-13T13:54:29.900Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",-12.382239,20.008987,"-12.38223934173584,20.008987426757812","0.2982117,-0.20470233,0.5143599,0.17747281,0.51594293,-1.3369358,-0.027725507,1.1726104,1.2903054,0.57692146,0.21374631,0.927518,-0.104427904,-0.33107787,0.17664272,0.17024545,0.84487665,0.24732938,0.23124802,-0.7321022,0.18889984,-0.37548465,0.07769501,0.28210282,-0.09538244,-0.44445997,-0.48262748,-0.9656153,-0.79172415,0.65666366,0.024726506,0.38553697",2.0,1.0
416,1,Provider 2,arenas-pr-10006,,179.0,2020-01-25T09:35:52Z,2020-01-25T09:38:51Z,2020-01-25T09:36:52Z,1.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-6.6979194,21.816818,"-6.6979193687438965,21.816818237304688","0.33396545,-0.2910021,0.3884763,-0.13461351,0.5005506,-1.5487517,0.09560554,1.2669863,1.1362758,0.84497416,0.2658937,1.0118266,0.013246484,-0.5553189,0.06481319,0.21495111,0.66712123,0.24092269,0.23474094,-0.50983244,0.32642448,-0.4170246,0.22609127,0.428322,-0.14701983,-0.4897503,-0.365754,-1.0069776,-0.71753216,0.5471126,0.087501645,0.5309092",10.0,1.0
417,1,Provider 2,arena-pr-xZcYcKVnHmqq9NSRmteJPC,,179.6,2019-12-26T05:45:31.400Z,2019-12-26T05:48:31Z,2019-12-26T05:46:31.400Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-12.416594,20.005476,"-12.416593551635742,20.005475997924805","0.29817015,-0.20434792,0.5144243,0.17767416,0.51566374,-1.3366561,-0.02788344,1.1723,1.290263,0.57661784,0.21376735,0.9274565,-0.104466245,-0.33089748,0.17641023,0.17010893,0.84478927,0.24743435,0.23107305,-0.73204285,0.1890678,-0.37548172,0.077741064,0.28186566,-0.09530556,-0.4444514,-0.48260194,-0.9654461,-0.7912985,0.65678287,0.024580557,0.38556778",2.0,1.0
418,1,Provider 2,arena-pr-xZcYcKVnHmqq9NSRmteJPC,,179.6,2019-12-26T06:29:00.400Z,2019-12-26T06:32:00Z,2019-12-26T06:30:00.400Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-9.763024,4.0229735,"-9.76302433013916,4.022973537445068","0.24275237,-0.15143009,0.47474837,0.16276395,0.5385128,-1.266524,-0.04137786,1.1583908,1.2657152,0.5757375,0.29492483,0.91644955,-0.093851656,-0.31062117,0.20565465,0.1315021,0.8627719,0.2546283,0.27678537,-0.77812827,0.17793708,-0.37062514,0.12179975,0.3351373,-0.19450396,-0.44706097,-0.40296394,-0.96666086,-0.83025575,0.66201687,-0.036983643,0.39060187",11.0,1.0
419,1,Provider 2,arena-pr-H6oAJesicMevoBCWXhyU3f,,180.0,2019-12-13T18:17:20.700Z,2019-12-13T18:20:20.700Z,2019-12-13T18:18:20.700Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-9.894361,3.8914511,"-9.894360542297363,3.891451120376587","0.24275905,-0.15142284,0.474787,0.162864,0.53852487,-1.2664821,-0.041438695,1.1582974,1.265828,0.5756625,0.29493394,0.9164462,-0.0938501,-0.31057954,0.20565441,0.13148741,0.86282367,0.2545994,0.27677068,-0.77817017,0.1779476,-0.3706159,0.121762365,0.3350354,-0.19450715,-0.4470134,-0.40302727,-0.9666276,-0.83020943,0.6620743,-0.036997125,0.39057755",11.0,1.0
420,1,Provider 2,arena-pr-H6oAJesicMevoBCWXhyU3f,,179.9,2020-03-17T10:04:03.900Z,2020-03-17T10:07:03.800Z,2020-03-17T10:05:03.900Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-9.915541,3.8703833,"-9.91554069519043,3.8703832626342773","0.2427541,-0.15131153,0.47476655,0.16278383,0.53839123,-1.2664788,-0.04140511,1.1583511,1.2656901,0.57565737,0.29489854,0.9164666,-0.0938651,-0.31058866,0.20558825,0.13145922,0.86269987,0.25470278,0.2767334,-0.7780675,0.17798299,-0.3706324,0.12182553,0.33508816,-0.19445552,-0.44710445,-0.40294498,-0.9666295,-0.83008987,0.6620486,-0.037023358,0.39062732",11.0,1.0
421,1,Provider 2,arena-pr-H6oAJesicMevoBCWXhyU3f,,179.6,2019-12-06T00:19:09.400Z,2019-12-06T00:22:09Z,2019-12-06T00:20:09.400Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-9.865456,3.9204087,"-9.865455627441406,3.9204087257385254","0.24275264,-0.15148635,0.47473896,0.16275676,0.5385703,-1.2665437,-0.041366108,1.1584077,1.2657276,0.5757741,0.29493764,0.9164411,-0.09384477,-0.3106354,0.2056857,0.13152175,0.8628057,0.25459245,0.27680987,-0.7781562,0.17791604,-0.37062252,0.12178761,0.33515853,-0.1945259,-0.44703946,-0.40297294,-0.966674,-0.8303327,0.6620015,-0.036964443,0.39059013",11.0,1.0
422,1,Provider 2,arena-pr-ygyY6ArmuzqYH5Zv57jpPc,,179.6,2019-12-06T00:19:09.400Z,2019-12-06T00:22:09Z,2019-12-06T00:20:09.400Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-9.920284,3.865783,"-9.920284271240234,3.8657829761505127","0.24274835,-0.15146814,0.47474295,0.16271593,0.5385323,-1.2665706,-0.04135414,1.1584458,1.2657092,0.57579744,0.2949172,0.9164703,-0.09383187,-0.31065923,0.20567983,0.1315173,0.862758,0.25464523,0.27680087,-0.778129,0.17791839,-0.37063652,0.12180368,0.3351788,-0.19451094,-0.44708914,-0.40296066,-0.9667033,-0.8303004,0.6619947,-0.036968224,0.39060748",11.0,1.0
423,1,Provider 2,arena-pr-xZcYcKVnHmqq9NSRmteJPC,,179.9,2020-03-10T22:26:12Z,2020-03-10T22:29:11.900Z,2020-03-10T22:27:12Z,2.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",4.172705,18.548204,"4.172705173492432,18.54820442199707","0.49635586,-0.49700302,0.36879164,-0.5682473,0.2884429,-1.9491664,0.16923688,1.1966335,1.0486894,1.2125576,0.28070387,1.2666588,0.3365435,-1.0523629,-0.28413558,0.39180398,0.2795928,0.21488968,0.037663072,0.066311836,0.6428344,-0.5527047,0.37241542,0.29398644,-0.009283572,-0.54184103,-0.4549498,-0.9567336,-0.23337151,0.44697395,0.34335262,0.7712215",0.0,1.0
424,1,Provider 2,arena-pr-ygyY6ArmuzqYH5Zv57jpPc,,179.8,2019-12-13T18:06:01.700Z,2019-12-13T18:09:01.500Z,2019-12-13T18:07:01.600Z,10.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-9.7898,-5.5158157,"-9.789799690246582,-5.515815734863281","0.4027414,-0.3452698,0.6783985,0.2264618,0.41635656,-1.4225674,-0.04573166,1.1642966,1.3508874,0.5525185,0.025447212,0.99302256,-0.0969516,-0.42109734,0.12836537,0.31209832,0.76535165,0.22389734,0.10866436,-0.55244094,0.16502437,-0.4262653,-0.055092305,0.089597315,0.16918735,-0.4531832,-0.7249174,-0.9338559,-0.702786,0.6457746,0.20632511,0.35241598",8.0,1.0
425,1,Provider 2,arena-pr-xZcYcKVnHmqq9NSRmteJPC,,180.0,2020-03-28T18:52:49Z,2020-03-28T18:55:49Z,2020-03-28T18:53:49Z,2.0,,,Phasor,State::Change State::Shedding,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",4.209314,18.471449,"4.209313869476318,18.47144889831543","0.49822178,-0.50022787,0.36298496,-0.5823011,0.28617293,-1.957488,0.1723146,1.1955187,1.0426055,1.2238129,0.2861988,1.2709701,0.3450039,-1.0634743,-0.29230955,0.3939337,0.2708978,0.21383977,0.035583936,0.07812277,0.6509845,-0.55455166,0.37825465,0.2963383,-0.011908805,-0.54268205,-0.4513476,-0.9555321,-0.22438811,0.44262174,0.3466711,0.77848274",0.0,1.0
426,1,Provider 2,arena-pr-ygyY6ArmuzqYH5Zv57jpPc,,179.9,2019-12-13T13:53:29.900Z,2019-12-13T13:56:29.800Z,2019-12-13T13:54:29.900Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",-9.980137,-5.6226563,"-9.98013687133789,-5.622656345367432","0.40265915,-0.3450476,0.67847914,0.22609334,0.41603872,-1.4227544,-0.045662947,1.1646606,1.3507227,0.55269396,0.0252847,0.9932573,-0.09689379,-0.4212762,0.12826747,0.31208825,0.76493543,0.22430667,0.10850262,-0.5522432,0.16504565,-0.42632544,-0.05499597,0.089762874,0.16923529,-0.45359927,-0.7248231,-0.9341135,-0.70250845,0.64573383,0.20621262,0.3525927",8.0,1.0
